,x,y,h,x,y,h,x,y,h,x,y,h,x,y,h,x,y,h,reward,done,ego_x,ego_y
0.4,3.8066500000000002e+02,-4.0350000000000019e+00,0.0000000000000000e+00,1.9803999999999999e+02,-3.8850000000000007e+00,0.0000000000000000e+00,1.6663499999999999e+02,-4.4049999999999994e+00,0.0000000000000000e+00,2.1515000000000001e+02,-8.2050000000000018e+00,0.0000000000000000e+00,2.8440000000000001e+01,-4.1150000000000020e+00,0.0000000000000000e+00,2.9471500000000003e+02,-4.0950000000000015e+00,-6.0240235161693675e-03,0.0,0.0,193.65363896235849,-7.32152035986451
0.44,3.8230500000000001e+02,-4.0350000000000019e+00,0.0000000000000000e+00,1.9947999999999999e+02,-3.8850000000000007e+00,0.0000000000000000e+00,1.6793500000000000e+02,-4.4049999999999994e+00,7.6921559756472357e-03,2.1607999999999998e+02,-8.2050000000000018e+00,0.0000000000000000e+00,2.9859999999999999e+01,-4.1150000000000020e+00,0.0000000000000000e+00,2.9637500000000000e+02,-4.1049999999999995e+00,0.0000000000000000e+00,0.0,0.0,194.66815957690883,-7.249949290882369
0.48,3.8393500000000000e+02,-4.0350000000000019e+00,0.0000000000000000e+00,2.0091000000000000e+02,-3.8850000000000007e+00,0.0000000000000000e+00,1.6923500000000001e+02,-4.3950000000000014e+00,7.5756126511966389e-03,2.1700999999999999e+02,-8.2050000000000018e+00,0.0000000000000000e+00,3.1280000000000001e+01,-4.1150000000000020e+00,0.0000000000000000e+00,2.9804500000000002e+02,-4.1049999999999995e+00,0.0000000000000000e+00,0.0,0.0,195.68383927271157,-7.176462646620619
0.52,3.8557499999999999e+02,-4.0350000000000019e+00,0.0000000000000000e+00,2.0234999999999999e+02,-3.8850000000000007e+00,0.0000000000000000e+00,1.7055500000000001e+02,-4.3849999999999998e+00,7.6334395174942503e-03,2.1793000000000001e+02,-8.2050000000000018e+00,0.0000000000000000e+00,3.2710000000000001e+01,-4.1150000000000020e+00,-6.9443328150141804e-03,2.9971500000000003e+02,-4.1049999999999995e+00,0.0000000000000000e+00,0.0,0.0,196.70059008371297,-7.101807240711768
0.56,3.8722500000000002e+02,-4.0350000000000019e+00,0.0000000000000000e+00,2.0378000000000000e+02,-3.8850000000000007e+00,0.0000000000000000e+00,1.7186500000000001e+02,-4.3749999999999982e+00,7.5756126511939475e-03,2.1885999999999999e+02,-8.2050000000000018e+00,0.0000000000000000e+00,3.4149999999999999e+01,-4.1250000000000000e+00,0.0000000000000000e+00,3.0138500000000005e+02,-4.1049999999999995e+00,-5.9879523839143356e-03,0.0,0.0,197.71833255950608,-7.026522754219736
0.6,3.8886500000000001e+02,-4.0350000000000019e+00,0.0000000000000000e+00,2.0522000000000000e+02,-3.8850000000000007e+00,0.0000000000000000e+00,1.7318500000000000e+02,-4.3650000000000002e+00,0.0000000000000000e+00,2.1976999999999998e+02,-8.2050000000000018e+00,1.0869137177271691e-02,3.5590000000000003e+01,-4.1250000000000000e+00,0.0000000000000000e+00,3.0305500000000001e+02,-4.1150000000000011e+00,0.0000000000000000e+00,0.0,0.0,198.7376796339318,-6.950718282173928
0.64,3.9052500000000003e+02,-4.0350000000000019e+00,0.0000000000000000e+00,2.0665000000000001e+02,-3.8850000000000007e+00,0.0000000000000000e+00,1.7450500000000000e+02,-4.3650000000000002e+00,7.5756126511966389e-03,2.2069000000000000e+02,-8.1950000000000003e+00,0.0000000000000000e+00,3.7020000000000003e+01,-4.1250000000000000e+00,-6.8964423883495600e-03,3.0473500000000001e+02,-4.1150000000000011e+00,0.0000000000000000e+00,0.0,0.0,199.75833577216275,-6.875258667474988
0.68,3.9217500000000001e+02,-4.0350000000000019e+00,0.0000000000000000e+00,2.0808000000000001e+02,-3.8850000000000007e+00,0.0000000000000000e+00,1.7582499999999999e+02,-4.3549999999999986e+00,7.6334395174915389e-03,2.2162000000000000e+02,-8.1950000000000003e+00,0.0000000000000000e+00,3.8469999999999999e+01,-4.1350000000000016e+00,0.0000000000000000e+00,3.0640500000000003e+02,-4.1150000000000011e+00,0.0000000000000000e+00,0.0,0.0,200.78037786879779,-6.8001914241251225
0.72,3.9383500000000004e+02,-4.0350000000000019e+00,0.0000000000000000e+00,2.0952000000000001e+02,-3.8850000000000007e+00,6.9443328150166480e-03,1.7713499999999999e+02,-4.3450000000000006e+00,0.0000000000000000e+00,2.2256000000000000e+02,-8.1950000000000003e+00,1.0752273791103167e-02,3.9910000000000004e+01,-4.1350000000000016e+00,0.0000000000000000e+00,3.0807500000000005e+02,-4.1150000000000011e+00,-5.9879523839122080e-03,0.0,0.0,201.80388984988795,-6.7255720520724065
0.76,3.9549500000000000e+02,-4.0350000000000019e+00,0.0000000000000000e+00,2.1096000000000001e+02,-3.8749999999999991e+00,0.0000000000000000e+00,1.7845500000000001e+02,-4.3450000000000006e+00,7.6921559756501362e-03,2.2348999999999998e+02,-8.1849999999999987e+00,0.0000000000000000e+00,4.1350000000000001e+01,-4.1350000000000016e+00,-6.9928930053319380e-03,3.0974500000000000e+02,-4.1249999999999991e+00,0.0000000000000000e+00,0.0,0.0,202.82896350894345,-6.651464914213294
0.8,3.9714500000000004e+02,-4.0350000000000019e+00,0.0000000000000000e+00,2.1240000000000001e+02,-3.8749999999999991e+00,0.0000000000000000e+00,1.7975500000000000e+02,-4.3349999999999991e+00,0.0000000000000000e+00,2.2441999999999999e+02,-8.1849999999999987e+00,0.0000000000000000e+00,4.2780000000000001e+01,-4.1449999999999996e+00,0.0000000000000000e+00,3.1141500000000002e+02,-4.1249999999999991e+00,0.0000000000000000e+00,0.0,0.0,203.85532118870347,-6.579445566337287
0.84,3.9880500000000001e+02,-4.0350000000000019e+00,0.0000000000000000e+00,2.1384000000000000e+02,-3.8749999999999991e+00,0.0000000000000000e+00,1.8107499999999999e+02,-4.3349999999999991e+00,7.6334395174915389e-03,2.2535999999999999e+02,-8.1849999999999987e+00,1.0752273791099019e-02,4.4229999999999997e+01,-4.1449999999999996e+00,0.0000000000000000e+00,3.1308500000000004e+02,-4.1249999999999991e+00,0.0000000000000000e+00,0.0,0.0,204.8832677046053,-6.509797526682283
0.88,4.0046500000000003e+02,-4.0350000000000019e+00,0.0000000000000000e+00,2.1528000000000000e+02,-3.8749999999999991e+00,0.0000000000000000e+00,1.8238499999999999e+02,-4.3250000000000011e+00,7.6334395174942503e-03,2.2628999999999999e+02,-8.1750000000000007e+00,0.0000000000000000e+00,4.5670000000000002e+01,-4.1449999999999996e+00,0.0000000000000000e+00,3.1474500000000000e+02,-4.1249999999999991e+00,-6.0240235161713009e-03,0.0,0.0,205.91299491917292,-6.442697544116169
0.92,4.0210500000000002e+02,-4.0350000000000019e+00,0.0000000000000000e+00,2.1669999999999999e+02,-3.8749999999999991e+00,0.0000000000000000e+00,1.8369499999999999e+02,-4.3149999999999995e+00,0.0000000000000000e+00,2.2722000000000000e+02,-8.1750000000000007e+00,1.0525927031727186e-02,4.7090000000000003e+01,-4.1449999999999996e+00,-6.9928930053344222e-03,3.1640500000000003e+02,-4.1350000000000007e+00,0.0000000000000000e+00,0.0,0.0,206.9444916133632,-6.378159389152641
0.96,4.0375500000000000e+02,-4.0350000000000019e+00,-6.1348923578747093e-03,2.1813000000000000e+02,-3.8749999999999991e+00,0.0000000000000000e+00,1.8501499999999999e+02,-4.3149999999999995e+00,7.5756126511937845e-03,2.2816999999999999e+02,-8.1649999999999991e+00,1.0637896575539351e-02,4.8520000000000003e+01,-4.1550000000000011e+00,0.0000000000000000e+00,3.1808500000000004e+02,-4.1350000000000007e+00,0.0000000000000000e+00,0.0,0.0,207.97774647913593,-6.316189846752463
1.0,4.0538499999999999e+02,-4.0449999999999999e+00,0.0000000000000000e+00,2.1956000000000000e+02,-3.8749999999999991e+00,0.0000000000000000e+00,1.8633500000000001e+02,-4.3050000000000015e+00,0.0000000000000000e+00,2.2910999999999999e+02,-8.1550000000000011e+00,0.0000000000000000e+00,4.9950000000000003e+01,-4.1550000000000011e+00,0.0000000000000000e+00,3.1976500000000004e+02,-4.1350000000000007e+00,-5.9879523839122080e-03,0.0,0.0,209.01576837540412,-6.256066378961786
1.04,4.0703500000000003e+02,-4.0449999999999999e+00,0.0000000000000000e+00,2.2100000000000000e+02,-3.8749999999999991e+00,6.9443328150141804e-03,1.8765500000000000e+02,-4.3050000000000015e+00,7.6334395174942503e-03,2.3006000000000000e+02,-8.1550000000000011e+00,1.0637896575543131e-02,5.1380000000000003e+01,-4.1550000000000011e+00,0.0000000000000000e+00,3.2143500000000000e+02,-4.1449999999999987e+00,0.0000000000000000e+00,0.0,0.0,210.06149084435222,-6.1995169716539875
1.08,4.0868500000000000e+02,-4.0449999999999999e+00,0.0000000000000000e+00,2.2244000000000000e+02,-3.8650000000000011e+00,0.0000000000000000e+00,1.8896500000000000e+02,-4.2949999999999999e+00,0.0000000000000000e+00,2.3100000000000000e+02,-8.1449999999999996e+00,0.0000000000000000e+00,5.2810000000000002e+01,-4.1550000000000011e+00,0.0000000000000000e+00,3.2311500000000001e+02,-4.1449999999999987e+00,0.0000000000000000e+00,0.0,0.0,211.1175124016169,-6.146273178797927
1.12,4.1032499999999999e+02,-4.0449999999999999e+00,0.0000000000000000e+00,2.2388000000000000e+02,-3.8650000000000011e+00,0.0000000000000000e+00,1.9029499999999999e+02,-4.2949999999999999e+00,7.5186553123049883e-03,2.3194000000000000e+02,-8.1449999999999996e+00,1.0525927031723448e-02,5.4250000000000000e+01,-4.1550000000000011e+00,0.0000000000000000e+00,3.2479500000000002e+02,-4.1449999999999987e+00,-5.9170907060282583e-03,0.0,0.0,212.18627301064552,-6.0972241727398
1.16,4.1197500000000002e+02,-4.0449999999999999e+00,0.0000000000000000e+00,2.2533000000000001e+02,-3.8650000000000011e+00,0.0000000000000000e+00,1.9162500000000000e+02,-4.2849999999999984e+00,0.0000000000000000e+00,2.3288999999999999e+02,-8.1350000000000016e+00,1.0637896575543131e-02,5.5700000000000003e+01,-4.1550000000000011e+00,-6.8964423883471097e-03,3.2648500000000001e+02,-4.1550000000000002e+00,0.0000000000000000e+00,0.0,0.0,213.2699424916684,-6.052213680908893
1.2,4.1363499999999999e+02,-4.0449999999999999e+00,0.0000000000000000e+00,2.2677000000000001e+02,-3.8650000000000011e+00,0.0000000000000000e+00,1.9295500000000001e+02,-4.2849999999999984e+00,0.0000000000000000e+00,2.3382999999999998e+02,-8.1250000000000000e+00,0.0000000000000000e+00,5.7149999999999999e+01,-4.1649999999999991e+00,0.0000000000000000e+00,3.2816500000000002e+02,-4.1550000000000002e+00,0.0000000000000000e+00,0.0,0.0,214.3704976905,-6.011618897823184
1.24,4.1528500000000003e+02,-4.0449999999999999e+00,0.0000000000000000e+00,2.2821000000000001e+02,-3.8650000000000011e+00,0.0000000000000000e+00,1.9427500000000001e+02,-4.2849999999999984e+00,7.5756126511939475e-03,2.3476999999999998e+02,-8.1250000000000000e+00,1.0752273791102839e-02,5.8590000000000003e+01,-4.1649999999999991e+00,0.0000000000000000e+00,3.2983500000000004e+02,-4.1550000000000002e+00,-5.9523106545925440e-03,0.0,0.0,215.4896775686382,-5.975251042921412
1.28,4.1693500000000000e+02,-4.0449999999999999e+00,0.0000000000000000e+00,2.2965000000000001e+02,-3.8650000000000011e+00,6.9443328150166480e-03,1.9559500000000000e+02,-4.2750000000000004e+00,0.0000000000000000e+00,2.3569999999999999e+02,-8.1149999999999984e+00,1.0869137177267830e-02,6.0030000000000001e+01,-4.1649999999999991e+00,0.0000000000000000e+00,3.3151500000000004e+02,-4.1650000000000018e+00,0.0000000000000000e+00,0.0,0.0,216.6290166879988,-5.943156503414862
1.32,4.1856900000000002e+02,-4.0449999999999999e+00,0.0000000000000000e+00,2.3109000000000000e+02,-3.8549999999999995e+00,0.0000000000000000e+00,1.9692500000000001e+02,-4.2750000000000004e+00,7.5756126511966389e-03,2.3662000000000000e+02,-8.1050000000000004e+00,0.0000000000000000e+00,6.1469999999999999e+01,-4.1649999999999991e+00,0.0000000000000000e+00,3.3318500000000000e+02,-4.1650000000000018e+00,-5.9523106545904293e-03,0.0,0.0,217.78982686257112,-5.915065503927088
1.36,4.2020300000000003e+02,-4.0449999999999999e+00,0.0000000000000000e+00,2.3253000000000000e+02,-3.8549999999999995e+00,0.0000000000000000e+00,1.9824500000000000e+02,-4.2649999999999988e+00,0.0000000000000000e+00,2.3756999999999999e+02,-8.1050000000000004e+00,1.0637896575543131e-02,6.2920000000000002e+01,-4.1649999999999991e+00,0.0000000000000000e+00,3.3486500000000001e+02,-4.1749999999999998e+00,0.0000000000000000e+00,0.0,0.0,218.97321207889092,-5.890804380645968
1.4,4.2183700000000005e+02,-4.0449999999999999e+00,0.0000000000000000e+00,2.3397000000000000e+02,-3.8549999999999995e+00,0.0000000000000000e+00,1.9957499999999999e+02,-4.2649999999999988e+00,7.5186553123023168e-03,2.3850999999999999e+02,-8.0949999999999989e+00,1.0525927031723132e-02,6.4359999999999999e+01,-4.1649999999999991e+00,0.0000000000000000e+00,3.3654500000000002e+02,-4.1749999999999998e+00,-5.9523106545925440e-03,0.0,0.0,220.18006079474944,-5.870019685506814
1.44,4.2347100000000006e+02,-4.0449999999999999e+00,0.0000000000000000e+00,2.3541000000000000e+02,-3.8549999999999995e+00,0.0000000000000000e+00,2.0090500000000000e+02,-4.2550000000000008e+00,0.0000000000000000e+00,2.3946000000000001e+02,-8.0850000000000009e+00,0.0000000000000000e+00,6.5789999999999992e+01,-4.1649999999999991e+00,6.9443328150141804e-03,3.3822500000000002e+02,-4.1850000000000014e+00,0.0000000000000000e+00,0.0,0.0,221.41096229814607,-5.852394583484608
1.48,4.2510500000000008e+02,-4.0449999999999999e+00,0.0000000000000000e+00,2.3685999999999999e+02,-3.8549999999999995e+00,6.9443328150140433e-03,2.0222499999999999e+02,-4.2550000000000008e+00,7.5186553123049883e-03,2.4041000000000000e+02,-8.0850000000000009e+00,1.0637896575543131e-02,6.7229999999999990e+01,-4.1550000000000011e+00,0.0000000000000000e+00,3.3990500000000003e+02,-4.1850000000000014e+00,-5.9523106545904293e-03,0.0,0.0,222.665901788475,-5.837516422902467
1.52,4.2673900000000009e+02,-4.0449999999999999e+00,0.0000000000000000e+00,2.3830000000000001e+02,-3.8450000000000015e+00,0.0000000000000000e+00,2.0355500000000001e+02,-4.2449999999999992e+00,0.0000000000000000e+00,2.4134999999999999e+02,-8.0749999999999993e+00,0.0000000000000000e+00,6.8669999999999987e+01,-4.1550000000000011e+00,0.0000000000000000e+00,3.4158500000000004e+02,-4.1949999999999994e+00,0.0000000000000000e+00,0.0,0.0,223.94486805296535,-5.824982185433238
1.56,4.2837300000000010e+02,-4.0449999999999999e+00,0.0000000000000000e+00,2.3974000000000001e+02,-3.8450000000000015e+00,0.0000000000000000e+00,2.0488499999999999e+02,-4.2449999999999992e+00,7.5756126511937845e-03,2.4228999999999999e+02,-8.0749999999999993e+00,1.0752273791099019e-02,7.0109999999999999e+01,-4.1550000000000011e+00,0.0000000000000000e+00,3.4326500000000004e+02,-4.1949999999999994e+00,-5.9523106545925440e-03,0.0,0.0,225.24785226123404,-5.814338192774225
1.6,4.3000700000000012e+02,-4.0449999999999999e+00,0.0000000000000000e+00,2.4116999999999999e+02,-3.8450000000000015e+00,0.0000000000000000e+00,2.0620500000000001e+02,-4.2350000000000012e+00,0.0000000000000000e+00,2.4322000000000000e+02,-8.0650000000000013e+00,0.0000000000000000e+00,7.1539999999999992e+01,-4.1550000000000011e+00,0.0000000000000000e+00,3.4494500000000005e+02,-4.2050000000000010e+00,0.0000000000000000e+00,0.0,0.0,226.54045937288615,-6.002661226346955
1.64,4.3164100000000013e+02,-4.0449999999999999e+00,0.0000000000000000e+00,2.4260999999999999e+02,-3.8450000000000015e+00,0.0000000000000000e+00,2.0752500000000001e+02,-4.2350000000000012e+00,7.5756126511966389e-03,2.4416000000000000e+02,-8.0650000000000013e+00,1.0637896575543131e-02,7.2979999999999990e+01,-4.1550000000000011e+00,0.0000000000000000e+00,3.4662500000000000e+02,-4.2050000000000010e+00,-5.9523106545904293e-03,0.0,0.0,227.8099817496833,-6.323495729203102
1.68,4.3327500000000015e+02,-4.0449999999999999e+00,0.0000000000000000e+00,2.4403999999999999e+02,-3.8450000000000015e+00,6.8964423883494585e-03,2.0884500000000000e+02,-4.2249999999999996e+00,0.0000000000000000e+00,2.4509999999999999e+02,-8.0549999999999997e+00,0.0000000000000000e+00,7.4419999999999987e+01,-4.1550000000000011e+00,6.9443328150165795e-03,3.4830500000000001e+02,-4.2149999999999990e+00,0.0000000000000000e+00,0.0,0.0,229.06777543929488,-6.697394172179614
1.72,4.3490900000000016e+02,-4.0449999999999999e+00,0.0000000000000000e+00,2.4549000000000001e+02,-3.8350000000000000e+00,0.0000000000000000e+00,2.1016499999999999e+02,-4.2249999999999996e+00,7.5186553123023168e-03,2.4603000000000000e+02,-8.0549999999999997e+00,1.0869137177268166e-02,7.5859999999999999e+01,-4.1449999999999996e+00,0.0000000000000000e+00,3.4998500000000001e+02,-4.2149999999999990e+00,-5.9170907060282583e-03,0.0,0.0,230.3213650794881,-7.094269686687155
1.76,4.3654300000000018e+02,-4.0449999999999999e+00,0.0000000000000000e+00,2.4693000000000001e+02,-3.8350000000000000e+00,0.0000000000000000e+00,2.1149500000000000e+02,-4.2150000000000016e+00,7.5756126511966389e-03,2.4694999999999999e+02,-8.0450000000000017e+00,0.0000000000000000e+00,7.7309999999999988e+01,-4.1449999999999996e+00,0.0000000000000000e+00,3.5167500000000001e+02,-4.2250000000000005e+00,0.0000000000000000e+00,0.0,0.0,231.5793546096363,-7.485069797677891
1.8,4.3817700000000019e+02,-4.0449999999999999e+00,0.0000000000000000e+00,2.4837000000000000e+02,-3.8350000000000000e+00,0.0000000000000000e+00,2.1281500000000000e+02,-4.2050000000000001e+00,0.0000000000000000e+00,2.4788000000000000e+02,-8.0450000000000017e+00,0.0000000000000000e+00,7.8739999999999995e+01,-4.1449999999999996e+00,0.0000000000000000e+00,3.5336500000000001e+02,-4.2250000000000005e+00,-5.8478865538873805e-03,0.0,0.0,232.8449035174182,-7.858140183560605
1.84,4.3981100000000021e+02,-4.0449999999999999e+00,0.0000000000000000e+00,2.4981999999999999e+02,-3.8350000000000000e+00,0.0000000000000000e+00,2.1414500000000001e+02,-4.2050000000000001e+00,7.4625480352500653e-03,2.4881999999999999e+02,-8.0450000000000017e+00,0.0000000000000000e+00,8.0189999999999998e+01,-4.1449999999999996e+00,0.0000000000000000e+00,3.5507500000000005e+02,-4.2349999999999985e+00,0.0000000000000000e+00,0.0,0.0,234.11938383585513,-8.205895957057297
1.88,4.4144500000000022e+02,-4.0449999999999999e+00,0.0000000000000000e+00,2.5125999999999999e+02,-3.8350000000000000e+00,0.0000000000000000e+00,2.1548500000000001e+02,-4.1949999999999985e+00,0.0000000000000000e+00,2.4975999999999999e+02,-8.0450000000000017e+00,1.0752273791102839e-02,8.1639999999999986e+01,-4.1449999999999996e+00,6.9928930053319033e-03,3.5676500000000004e+02,-4.2349999999999985e+00,-5.9523106545925440e-03,0.0,0.0,235.40199080421988,-8.528065364096397
1.92,4.4307900000000024e+02,-4.0449999999999999e+00,0.0000000000000000e+00,2.5269000000000000e+02,-3.8350000000000000e+00,6.9443328150166480e-03,2.1680500000000001e+02,-4.1949999999999985e+00,7.5186553123024781e-03,2.5069000000000000e+02,-8.0350000000000001e+00,0.0000000000000000e+00,8.3069999999999993e+01,-4.1350000000000016e+00,0.0000000000000000e+00,3.5844500000000005e+02,-4.2450000000000001e+00,0.0000000000000000e+00,0.0,0.0,236.69225240074564,-8.824839688008927
1.96,4.4471300000000025e+02,-4.0449999999999999e+00,0.0000000000000000e+00,2.5413000000000000e+02,-3.8249999999999984e+00,0.0000000000000000e+00,2.1813499999999999e+02,-4.1850000000000005e+00,7.4625480352500653e-03,2.5163000000000000e+02,-8.0350000000000001e+00,0.0000000000000000e+00,8.4509999999999991e+01,-4.1350000000000016e+00,0.0000000000000000e+00,3.6012500000000000e+02,-4.2450000000000001e+00,-5.9523106545925440e-03,0.0,0.0,237.9901850252429,-9.096161590301179
2.0,4.4634700000000026e+02,-4.0449999999999999e+00,0.0000000000000000e+00,2.5556000000000000e+02,-3.8249999999999984e+00,0.0000000000000000e+00,2.1947499999999999e+02,-4.1749999999999989e+00,0.0000000000000000e+00,2.5256999999999999e+02,-8.0350000000000001e+00,0.0000000000000000e+00,8.5949999999999989e+01,-4.1350000000000016e+00,0.0000000000000000e+00,3.6180500000000001e+02,-4.2550000000000017e+00,0.0000000000000000e+00,0.0,0.0,239.29476732656354,-9.345793654798621
2.04,4.4798100000000028e+02,-4.0449999999999999e+00,0.0000000000000000e+00,2.5700999999999999e+02,-3.8249999999999984e+00,0.0000000000000000e+00,2.2081500000000000e+02,-4.1749999999999989e+00,7.5186553123023168e-03,2.5350999999999999e+02,-8.0350000000000001e+00,1.0752273791102839e-02,8.7399999999999991e+01,-4.1350000000000016e+00,0.0000000000000000e+00,3.6349500000000000e+02,-4.2550000000000017e+00,-5.9523106545904293e-03,0.0,0.0,240.6054214245716,-9.574682357418862
2.08,4.4961500000000029e+02,-4.0449999999999999e+00,0.0000000000000000e+00,2.5845000000000005e+02,-3.8249999999999984e+00,0.0000000000000000e+00,2.2214500000000001e+02,-4.1650000000000009e+00,0.0000000000000000e+00,2.5444000000000000e+02,-8.0249999999999986e+00,0.0000000000000000e+00,8.8839999999999989e+01,-4.1350000000000016e+00,0.0000000000000000e+00,3.6517500000000001e+02,-4.2649999999999997e+00,-5.9170907060282583e-03,0.0,0.0,241.9217713688012,-9.784672183304203
2.12,4.5124900000000031e+02,-4.0449999999999999e+00,0.0000000000000000e+00,2.5990000000000003e+02,-3.8249999999999984e+00,0.0000000000000000e+00,2.2348500000000001e+02,-4.1650000000000009e+00,7.5186553123051487e-03,2.5537000000000000e+02,-8.0249999999999986e+00,0.0000000000000000e+00,9.0279999999999987e+01,-4.1350000000000016e+00,6.9443328150165795e-03,3.6686500000000001e+02,-4.2750000000000012e+00,0.0000000000000000e+00,0.0,0.0,243.243674220443,-9.976938164838254
2.16,4.5288300000000032e+02,-4.0449999999999999e+00,0.0000000000000000e+00,2.6135000000000002e+02,-3.8249999999999984e+00,0.0000000000000000e+00,2.2481500000000000e+02,-4.1549999999999994e+00,7.5186553123023168e-03,2.5630000000000001e+02,-8.0249999999999986e+00,0.0000000000000000e+00,9.1719999999999999e+01,-4.1250000000000000e+00,0.0000000000000000e+00,3.6855500000000001e+02,-4.2750000000000012e+00,-5.8822850953758098e-03,0.0,0.0,244.5709350656061,-10.150735966131323
